Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG_perc,3pt_perc,FT_perc,WS,VORP,BPM,All_NBA,All_Star
George Gervin,SAS,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,3.1,2.2,1,1
Eddie Johnson,ATL,33.2,18.5,2.5,4.7,1.5,0.3,0.487,0.385,0.828,8.2,2.8,2.2,0,1
Moses Malone,HOU,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,3.8,2.8,1,1
Julius Erving,PHI,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,6.5,7.2,1,1
John Drew,ATL,28.8,19.5,5.9,1.3,1.1,0.3,0.453,0,0.757,6.4,0.8,-0.7,0,1
Elvin Hayes,WSB,39.3,23,11.1,1.6,0.8,2.3,0.454,0.231,0.699,6.2,1.3,-0.4,0,1
Dan Roundfield,ATL,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,4.3,4.6,1,1
Larry Bird,BOS,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,5.4,5.3,1,1
Tiny Archibald,BOS,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,1.5,0,0,1
Bill Cartwright,NYK,38.4,21.7,8.9,2,0.6,1.2,0.547,0,0.797,9.7,2.1,0.6,0,1
Micheal Ray Richardson,NYK,37.3,15.3,6.6,10.1,3.2,0.4,0.472,0.245,0.66,6,4.4,3.7,0,1
Marques Johnson,MIL,34.9,21.7,7.4,3.5,1.3,0.9,0.544,0.222,0.791,11.5,4.8,5.1,1,1
Adrian Dantley,UTA,39.3,28,7.6,2.8,1.4,0.2,0.576,0,0.842,10.5,3.8,3.6,0,1
Kareem Abdul-Jabbar,LAL,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,6.8,6.7,1,1
Magic Johnson,LAL,36.3,18,7.7,7.3,2.4,0.5,0.53,0.226,0.81,10.5,5.3,5.5,0,1
World B. Free,SDC,38,30.2,3.5,4.2,1.2,0.5,0.474,0.36,0.753,8,1.9,1,0,1
